x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
275456,60000,160000,437871,51409,190022
275456,60000,180000,438656,49423,212747
275456,60000,200000,437963,45081,236027
275456,60000,220000,435792,40971,257920
275456,80000,140000,434222,71363,166466
275456,80000,160000,436254,71178,186558
275456,80000,180000,437085,70208,208868
275456,80000,200000,436577,65728,233117
275456,80000,220000,434360,59908,255934
275456,80000,240000,431312,55567,276997
275456,80000,260000,428448,52426,297782
275456,80000,280000,427386,50070,319075
275456,100000,140000,431635,91086,164711
275456,100000,160000,434037,90162,183602
275456,100000,180000,435330,89700,205034
275456,100000,200000,434915,86328,229006
275456,100000,220000,432467,80139,252239
275456,100000,240000,429141,73350,275796
275456,100000,260000,427201,69701,297874
275456,100000,280000,426601,68223,318890
275456,120000,140000,427755,110670,163048
275456,120000,160000,430896,109146,181801
275456,120000,180000,432928,108268,202447
275456,120000,200000,433298,105820,225172
275456,120000,220000,431312,101340,247759
275456,120000,240000,427802,94874,271870
275456,120000,260000,425723,89331,296211
275456,120000,280000,424938,87437,318059
275456,140000,100000,413252,137737,121339
275456,140000,140000,422906,129839,162124
275456,140000,160000,426277,127853,181154
275456,140000,180000,428679,126698,200877
275456,140000,200000,430157,124989,221847
275456,140000,220000,429326,121802,244018
275456,140000,240000,425862,117830,267528
275456,140000,260000,423183,111779,292470
275456,140000,280000,422536,107068,316997
275456,160000,100000,410389,157413,120184
275456,160000,160000,421243,145820,180785
275456,160000,180000,423922,144527,200138
275456,160000,200000,426785,143603,220138
275456,160000,220000,427016,141848,241477
275456,160000,240000,423691,138199,264757
275456,160000,260000,421474,131502,290576
275456,160000,280000,420689,126052,316350
275456,180000,160000,416624,164158,179122
275456,180000,180000,419626,162125,199029
275456,180000,200000,424153,161756,218983
275456,180000,220000,428725,160232,240415
275456,180000,240000,428494,156398,262817
275456,180000,260000,426370,150994,288175
275456,180000,280000,422675,146745,315011
275456,200000,200000,420781,181710,217090
275456,200000,220000,427617,181109,238521
275456,200000,240000,431958,178061,261939
275456,200000,260000,430804,174135,286466
275456,200000,280000,426462,170486,312840
275456,220000,220000,423368,203696,237228
275456,220000,240000,427894,201294,260461
275456,220000,260000,428125,197922,285773
275456,220000,280000,426139,194412,311731
275456,240000,240000,423044,223003,260600
275456,240000,260000,424107,220601,285172
255456,80000,140000,413852,72194,161108
255456,80000,160000,416623,71732,180646
255456,80000,180000,417963,71501,203694
255456,80000,200000,416069,65174,234456
255456,80000,220000,412928,60370,258105
255456,80000,240000,409741,57183,277043
255456,80000,260000,407063,54550,296350
255456,80000,280000,405908,53488,316581
255456,100000,140000,411820,91548,159399
255456,100000,160000,415607,89885,177644
255456,100000,180000,417593,89792,199491
255456,100000,200000,416254,85174,229422
255456,100000,220000,411312,79031,256073
255456,100000,240000,408171,74966,276766
255456,100000,260000,406185,72333,296535
255456,100000,280000,405492,71779,316350
255456,100000,300000,405585,69932,336766
255456,120000,80000,393206,118984,97505
255456,120000,100000,396532,117367,118013
255456,120000,140000,407940,111363,159584
255456,120000,160000,412836,109284,177875
