x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
342752,220984,440000,326946,287957,418523
342752,240984,420000,319787,306340,398754
342752,260984,420000,311935,326802,398984
342752,280984,420000,304775,347726,399908
342752,280984,440000,305237,349342,418523
342752,300984,400000,298078,367726,382449
342752,300984,420000,298540,369804,400832
342752,300984,440000,299233,370266,418754
342752,320984,420000,293459,391421,402218
322752,220984,420000,309717,275717,400601
322752,220984,440000,308793,276872,421063
322752,240984,280000,296784,295948,268222
322752,240984,400000,301634,293407,382218
322752,240984,420000,300941,295024,400832
322752,240984,440000,300941,296641,420832
322752,240984,460000,301634,297564,440832
322752,260984,280000,288701,315024,269608
322752,260984,380000,293551,312715,363141
322752,260984,400000,293320,313407,382910
322752,260984,420000,292396,315255,401294
322752,260984,440000,292627,316641,420832
322752,260984,460000,294013,317564,441063
322752,260984,480000,296322,318719,461294
322752,280984,380000,285468,332715,363603
322752,280984,400000,285237,334331,383141
322752,280984,420000,285006,336410,402218
322752,280984,440000,285699,337795,421063
322752,280984,460000,286854,338026,440601
322752,300984,380000,277385,353176,365913
322752,300984,400000,277847,355717,386144
322752,300984,420000,278540,357795,403603
322752,300984,440000,279233,358257,420601
322752,300984,460000,279695,357564,438984
322752,320984,400000,272305,378257,387991
322752,320984,420000,274383,381028,404989
322752,320984,440000,274845,380567,421525
322752,340984,400000,268148,400105,388684
302752,120984,140000,284174,178950,123141
302752,140984,100000,269856,197795,83372
302752,140984,120000,272396,197795,104065
302752,140984,140000,276092,197333,125451
302752,160984,80000,257847,213869,65913
302752,160984,100000,261080,215024,86375
302752,160984,120000,263852,215717,105913
302752,160984,140000,268701,214793,126605
302752,180984,100000,251612,231329,88453
302752,180984,280000,292950,231560,268684
302752,180984,360000,301495,229020,346375
302752,200984,240000,280018,253638,230993
302752,200984,260000,284405,251791,250762
302752,200984,280000,288793,249020,270301
302752,200984,300000,291103,246479,289377
302752,200984,320000,292488,245094,308453
302752,200984,360000,295260,245786,347067
302752,200984,380000,296645,245786,366144
302752,220984,200000,266392,273638,193765
302752,220984,220000,271242,273176,214688
302752,220984,240000,275630,272484,234226
302752,220984,260000,280479,269481,252841
302752,220984,280000,285329,266017,270762
302752,220984,300000,286022,263477,289377
302752,220984,320000,286484,263015,308684
302752,220984,340000,287177,262784,328222
302752,220984,360000,288562,263246,347760
302752,220984,380000,290179,263477,366375
302752,220984,400000,291103,263939,384527
302752,220984,420000,291565,265325,403372
302752,220984,440000,290872,266710,423372
302752,220984,460000,290872,268096,443372
302752,240984,180000,255538,292715,175612
302752,240984,200000,261311,293638,197460
302752,240984,220000,266392,293176,217922
302752,240984,240000,270318,291560,236767
302752,240984,260000,274706,288096,254457
302752,240984,280000,278863,284401,271455
302752,240984,300000,279787,282091,290070
302752,240984,320000,279556,281629,309377
302752,240984,340000,280018,281629,328684
302752,240984,360000,281403,282091,347991
302752,240984,380000,282789,281860,366605
302752,240984,400000,283251,282553,384989
